[[Snapshot 0] [Node /windows/system32/searchindexer.exe_2476] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/searchindexer.exe_2476 | label=0 | frequency=4
[[Snapshot 8] [Node session_172.217.0.1_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_172.217.0.1_443 | label=0 | frequency=1
[[Snapshot 8] [Node googleads.g.doubleclick.net] type=3 | type_name=NETFLOW_OBJECT | properties=googleads.g.doubleclick.net | label=0 | frequency=1
[[Snapshot 8] [Node 172.217.0.2] type=3 | type_name=NETFLOW_OBJECT | properties=172.217.0.2 | label=0 | frequency=4
[[Snapshot 8] [Node c:"/windows/fonts/arialbd.ttf] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/fonts/arialbd.ttf | label=0 | frequency=1
[[Snapshot 8] [Node session_192.168.223.128_49206] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49206 | label=0 | frequency=3
[[Snapshot 8] [Node connection_192.168.223.128_216.58.192.131] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_216.58.192.131 | label=0 | frequency=2
[[Snapshot 8] [Node connection_192.168.223.128_172.217.9.78] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_172.217.9.78 | label=0 | frequency=2
[[Snapshot 8] [Node session_216.58.192.131_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_216.58.192.131_443 | label=0 | frequency=1
[[Snapshot 8] [Node 49241] type=3 | type_name=NETFLOW_OBJECT | properties=49241 | label=0 | frequency=1
[[Snapshot 8] [Node session_172.217.5.14_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_172.217.5.14_443 | label=0 | frequency=1
[[Snapshot 8] [Node session_192.168.223.128_49209] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49209 | label=0 | frequency=3
[[Snapshot 8] [Node session_192.168.223.128_49210] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49210 | label=0 | frequency=3
[[Snapshot 8] [Node connection_192.168.223.128_172.217.9.34] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_172.217.9.34 | label=0 | frequency=2
[[Snapshot 8] [Node session_192.168.223.128_49211] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49211 | label=0 | frequency=3
[[Snapshot 8] [Node connection_192.168.223.128_172.217.9.46] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_172.217.9.46 | label=0 | frequency=2
[[Snapshot 8] [Node session_172.217.9.34_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_172.217.9.34_443 | label=0 | frequency=1
[[Snapshot 8] [Node session_172.217.9.46_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_172.217.9.46_443 | label=0 | frequency=1
[[Snapshot 8] [Node session_216.58.192.206_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_216.58.192.206_443 | label=0 | frequency=1
[[Snapshot 8] [Node session_192.168.223.128_49212] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49212 | label=0 | frequency=3
[[Snapshot 8] [Node connection_192.168.223.128_216.58.192.206] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_216.58.192.206 | label=0 | frequency=2
[[Snapshot 8] [Node /users/aalsahee/appdata/local/mozilla/firefox/profiles/a6gl280b.default/cache2/entries/2732bcc97e7eb9ec9de3e8ea8f56d7971cbdcd22] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/mozilla/firefox/profiles/a6gl280b.default/cache2/entries/2732bcc97e7eb9ec9de3e8ea8f56d7971cbdcd22 | label=0 | frequency=2
[[Snapshot 8] [Node session_172.217.8.173_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_172.217.8.173_443 | label=0 | frequency=1
[[Snapshot 8] [Node session_192.168.223.128_49213] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49213 | label=0 | frequency=3
[[Snapshot 8] [Node connection_192.168.223.128_172.217.8.173] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_172.217.8.173 | label=0 | frequency=2
[[Snapshot 8] [Node /users/aalsahee/appdata/local/mozilla/firefox/profiles/a6gl280b.default/thumbnails] type=5 | type_name=PRINCIPAL_LOCAL | properties=/users/aalsahee/appdata/local/mozilla/firefox/profiles/a6gl280b.default/thumbnails | label=0 | frequency=1
[[Snapshot 8] [Node connection_192.168.223.128_172.217.0.2] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_172.217.0.2 | label=0 | frequency=2
[[Snapshot 8] [Node session_192.168.223.128_49214] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49214 | label=0 | frequency=3
[[Snapshot 8] [Node session_172.217.0.2_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_172.217.0.2_443 | label=0 | frequency=1
[[Snapshot 8] [Node /program files/vmware/vmware tools/vmwareresolutionset.exe_1368] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmwareresolutionset.exe_1368 | label=0 | frequency=15
[[Snapshot 8] [Node /program files/vmware/vmware tools/vmwareresolutionset.exe_1200] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmwareresolutionset.exe_1200 | label=0 | frequency=15
[[Snapshot 8] [Node NOPROCESSNAME_1796] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_1796 | label=0 | frequency=4
[[Snapshot 8] [Node c:"/windows/fonts/segoeuil.ttf] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/fonts/segoeuil.ttf | label=0 | frequency=2
[[Snapshot 8] [Node c:"/windows/fonts/segoeuib.ttf] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/fonts/segoeuib.ttf | label=0 | frequency=2
[[Snapshot 8] [Node 52.85.117.158] type=3 | type_name=NETFLOW_OBJECT | properties=52.85.117.158 | label=0 | frequency=1
[[Snapshot 8] [Node 52.85.117.214] type=3 | type_name=NETFLOW_OBJECT | properties=52.85.117.214 | label=0 | frequency=1
[[Snapshot 8] [Node tiles-cloudfront.cdn.mozilla.net/images/cc63774b7a9aae02fe36bc5caf90c1e25e66a2bc.13791.png] type=6 | type_name=NetFlowObject | properties=tiles-cloudfront.cdn.mozilla.net/images/cc63774b7a9aae02fe36bc5caf90c1e25e66a2bc.13791.png | label=0 | frequency=1
[[Snapshot 8] [Node tiles-cloudfront.cdn.mozilla.net/images/af34c0541c6cdff392ec4414cb5949fa7012271d.17141.png] type=6 | type_name=NetFlowObject | properties=tiles-cloudfront.cdn.mozilla.net/images/af34c0541c6cdff392ec4414cb5949fa7012271d.17141.png | label=0 | frequency=1
[[Snapshot 8] [Node tiles-cloudfront.cdn.mozilla.net/images/b18c52ee5445fb37ed466d695f7e018efd0ad58f.95655.png] type=6 | type_name=NetFlowObject | properties=tiles-cloudfront.cdn.mozilla.net/images/b18c52ee5445fb37ed466d695f7e018efd0ad58f.95655.png | label=0 | frequency=1
[[Snapshot 8] [Node tiles-cloudfront.cdn.mozilla.net/images/e822cd4628c5162313f49f5d4556f8aafdf38750.11513.png] type=6 | type_name=NetFlowObject | properties=tiles-cloudfront.cdn.mozilla.net/images/e822cd4628c5162313f49f5d4556f8aafdf38750.11513.png | label=0 | frequency=1
[[Snapshot 8] [Node tiles-cloudfront.cdn.mozilla.net/images/0152ecdf5b18e095d255486b18c3f6a04ba6300e.27260.png] type=6 | type_name=NetFlowObject | properties=tiles-cloudfront.cdn.mozilla.net/images/0152ecdf5b18e095d255486b18c3f6a04ba6300e.27260.png | label=0 | frequency=1
[[Snapshot 8] [Node tiles-cloudfront.cdn.mozilla.net/images/12abda9be001265d0721947e520149fb781562b8.10301.png] type=6 | type_name=NetFlowObject | properties=tiles-cloudfront.cdn.mozilla.net/images/12abda9be001265d0721947e520149fb781562b8.10301.png | label=0 | frequency=1
[[Snapshot 8] [Node c:"/windows/fonts/tahoma.ttf] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/fonts/tahoma.ttf | label=0 | frequency=1
[[Snapshot 8] [Node /program files/vmware/vmware tools/vmwareresolutionset.exe_3128] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmwareresolutionset.exe_3128 | label=0 | frequency=15
[[Snapshot 8] [Node NOPROCESSNAME_840] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_840 | label=0 | frequency=1
[[Snapshot 8] [Node webmaker.org] type=3 | type_name=NETFLOW_OBJECT | properties=webmaker.org | label=0 | frequency=3
[[Snapshot 8] [Node 52.85.117.160] type=3 | type_name=NETFLOW_OBJECT | properties=52.85.117.160 | label=0 | frequency=1
[[Snapshot 8] [Node ocsp.sca1b.amazontrust.com] type=3 | type_name=NETFLOW_OBJECT | properties=ocsp.sca1b.amazontrust.com | label=0 | frequency=3
[[Snapshot 8] [Node 52.85.113.139] type=3 | type_name=NETFLOW_OBJECT | properties=52.85.113.139 | label=0 | frequency=1
[[Snapshot 8] [Node 52.85.117.102] type=3 | type_name=NETFLOW_OBJECT | properties=52.85.117.102 | label=0 | frequency=4
[[Snapshot 8] [Node 52.85.113.13] type=3 | type_name=NETFLOW_OBJECT | properties=52.85.113.13 | label=0 | frequency=4
[[Snapshot 8] [Node /program files/vmware/vmware tools/vmwareresolutionset.exe_704] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmwareresolutionset.exe_704 | label=0 | frequency=15
[[Snapshot 8] [Node session_52.85.113.13_80] type=3 | type_name=NETFLOW_OBJECT | properties=session_52.85.113.13_80 | label=0 | frequency=1
[[Snapshot 8] [Node session_192.168.223.128_49222] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49222 | label=0 | frequency=3
[[Snapshot 8] [Node session_192.168.223.128_49221] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49221 | label=0 | frequency=3
[[Snapshot 8] [Node connection_192.168.223.128_52.85.117.102] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_52.85.117.102 | label=0 | frequency=2
[[Snapshot 8] [Node ocsp.sca1b.amazontrust.com/] type=6 | type_name=NetFlowObject | properties=ocsp.sca1b.amazontrust.com/ | label=0 | frequency=1
[[Snapshot 8] [Node connection_192.168.223.128_52.85.113.13] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_52.85.113.13 | label=0 | frequency=2
[[Snapshot 8] [Node webmaker.org/?utm_source=directory-tiles&utm_medium=firefox-browser] type=6 | type_name=NetFlowObject | properties=webmaker.org/?utm_source=directory-tiles&utm_medium=firefox-browser | label=0 | frequency=1
[[Snapshot 8] [Node detectportal.firefox.com/success.txt] type=6 | type_name=NetFlowObject | properties=detectportal.firefox.com/success.txt | label=0 | frequency=1
[[Snapshot 8] [Node session_52.85.117.102_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_52.85.117.102_443 | label=0 | frequency=1
[[Snapshot 8] [Node /program files/mozilla firefox/firefox.exe_3340] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/mozilla firefox/firefox.exe_3340 | label=0 | frequency=56
[[Snapshot 8] [Node NOPROCESSNAME_2612] type=0 | type_name=SUBJECT_PROCESS | properties=NOPROCESSNAME_2612 | label=0 | frequency=2
[[Snapshot 8] [Node c:"/windows/system32/dnsapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dnsapi.dll | label=0 | frequency=16
[[Snapshot 8] [Node c:"/users/aalsahee/appdata/local/microsoft/windows/caches/cversions.1.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata/local/microsoft/windows/caches/cversions.1.db | label=0 | frequency=6
[[Snapshot 8] [Node c:"/users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000015.db] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000015.db | label=0 | frequency=6
[[Snapshot 8] [Node c:"/windows/system32/pdh.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/pdh.dll | label=0 | frequency=5
[[Snapshot 8] [Node c:"/windows/system32/tzres.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/tzres.dll | label=0 | frequency=17
[[Snapshot 8] [Node c:"/windows/system32/mswsock.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/mswsock.dll | label=0 | frequency=18
[[Snapshot 8] [Node c:"/windows/system32/wshtcpip.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wshtcpip.dll | label=0 | frequency=15
[[Snapshot 8] [Node c:"/windows/system32/dhcpcsvc.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dhcpcsvc.dll | label=0 | frequency=15
[[Snapshot 8] [Node c:"/program files/mozilla firefox/firefox.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/program files/mozilla firefox/firefox.exe | label=0 | frequency=5
[[Snapshot 8] [Node c:"/program files/mozilla firefox] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/program files/mozilla firefox | label=0 | frequency=5
[[Snapshot 8] [Node c:"/users/aalsahee] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee | label=0 | frequency=6
[[Snapshot 8] [Node c:"/users/aalsahee/appdata] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users/aalsahee/appdata | label=0 | frequency=6
[[Snapshot 8] [Node c:"/windows/system32/nlaapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/nlaapi.dll | label=0 | frequency=13
[[Snapshot 8] [Node c:"/windows/system32/wsock32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wsock32.dll | label=0 | frequency=10
[[Snapshot 8] [Node c:"/users] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/users | label=0 | frequency=7
[[Snapshot 8] [Node connection_127.0.0.1_127.0.0.1] type=3 | type_name=NETFLOW_OBJECT | properties=connection_127.0.0.1_127.0.0.1 | label=0 | frequency=6
[[Snapshot 8] [Node c:"/program files/mozilla firefox/firefox.exe_3340] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/program files/mozilla firefox/firefox.exe_3340 | label=0 | frequency=2
[[Snapshot 8] [Node c:"/windows/system32/version.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/version.dll | label=0 | frequency=27
[[Snapshot 8] [Node c:"/program files] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/program files | label=0 | frequency=5
[[Snapshot 8] [Node c:"/windows/system32/uxtheme.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/uxtheme.dll | label=0 | frequency=24
[[Snapshot 8] [Node c:"/windows/system32/dwmapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dwmapi.dll | label=0 | frequency=21
[[Snapshot 8] [Node c:"/windows/system32/msimg32.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/msimg32.dll | label=0 | frequency=5
[[Snapshot 8] [Node c:"/windows/system32/sspicli.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/sspicli.dll | label=0 | frequency=33
[[Snapshot 8] [Node c:"/windows/system32/wshbth.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/wshbth.dll | label=0 | frequency=8
[[Snapshot 8] [Node c:"/windows/system32/dbghelp.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dbghelp.dll | label=0 | frequency=6
[[Snapshot 8] [Node /program files/vmware/vmware tools/vmwareresolutionset.exe_3472] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmwareresolutionset.exe_3472 | label=0 | frequency=15
[[Snapshot 8] [Node 172.217.4.110] type=3 | type_name=NETFLOW_OBJECT | properties=172.217.4.110 | label=0 | frequency=2
[[Snapshot 8] [Node 172.217.6.14] type=3 | type_name=NETFLOW_OBJECT | properties=172.217.6.14 | label=0 | frequency=4
[[Snapshot 8] [Node /programdata/microsoft/rac/statedata/racmetadata.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=/programdata/microsoft/rac/statedata/racmetadata.dat | label=0 | frequency=1
[[Snapshot 8] [Node c:"/windows/system32/taskhost.exe_2648] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/taskhost.exe_2648 | label=0 | frequency=7
[[Snapshot 8] [Node /windows/system32/taskhost.exe_2648] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/taskhost.exe_2648 | label=0 | frequency=40
[[Snapshot 8] [Node c:"/programdata/microsoft/rac/temp] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/microsoft/rac/temp | label=0 | frequency=1
[[Snapshot 8] [Node c:"/windows/system32/dxgi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dxgi.dll | label=0 | frequency=2
[[Snapshot 8] [Node c:"/windows/system32/racengn.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/racengn.dll | label=0 | frequency=2
[[Snapshot 8] [Node c:"/windows/system32/sqmapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/sqmapi.dll | label=0 | frequency=2
[[Snapshot 8] [Node c:"/windows/system32/taskhost.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/taskhost.exe | label=0 | frequency=4
[[Snapshot 8] [Node c:"/programdata/microsoft/rac/statedata/racdatabase.sdf] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/microsoft/rac/statedata/racdatabase.sdf | label=0 | frequency=1
[[Snapshot 8] [Node c:"/windows/system32/winsatapi.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/winsatapi.dll | label=0 | frequency=1
[[Snapshot 8] [Node c:"/programdata/microsoft/rac/statedata/racmetadata.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/microsoft/rac/statedata/racmetadata.dat | label=0 | frequency=1
[[Snapshot 8] [Node c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80/gdiplus.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80/gdiplus.dll | label=0 | frequency=7
[[Snapshot 8] [Node c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/winsxs/x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80 | label=0 | frequency=6
[[Snapshot 8] [Node c:"/windows/system32/aepic.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/aepic.dll | label=0 | frequency=3
[[Snapshot 8] [Node c:"/windows/system32/apphelp.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/apphelp.dll | label=0 | frequency=17
[[Snapshot 8] [Node /windows/system32/svchost.exe_936] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_936 | label=0 | frequency=98
[[Snapshot 8] [Node c:"/windows/system32/taskschd.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/taskschd.dll | label=0 | frequency=7
[[Snapshot 8] [Node c:"/programdata/microsoft/rac/publisheddata/racwmidatabase.sdf] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/microsoft/rac/publisheddata/racwmidatabase.sdf | label=0 | frequency=1
[[Snapshot 8] [Node c:"/programdata/microsoft/rac/statedata/racwmieventdata.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/microsoft/rac/statedata/racwmieventdata.dat | label=0 | frequency=1
[[Snapshot 8] [Node c:"/programdata/microsoft/rac/statedata/racwmidatabookmarks.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/programdata/microsoft/rac/statedata/racwmidatabookmarks.dat | label=0 | frequency=1
[[Snapshot 8] [Node /programdata/microsoft/rac/temp/sqlbfe6.tmp] type=5 | type_name=PRINCIPAL_LOCAL | properties=/programdata/microsoft/rac/temp/sqlbfe6.tmp | label=0 | frequency=2
[[Snapshot 8] [Node safebrowsing.google.com/safebrowsing/downloads?client=navclient-auto-ffox&appver=52.0&pver=2.2&key=aizasyd_drzahe4dbzgcz9arvowcvrpx_yfrlcm] type=6 | type_name=NetFlowObject | properties=safebrowsing.google.com/safebrowsing/downloads?client=navclient-auto-ffox&appver=52.0&pver=2.2&key=aizasyd_drzahe4dbzgcz9arvowcvrpx_yfrlcm | label=0 | frequency=1
[[Snapshot 8] [Node session_192.168.223.128_49227] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_49227 | label=0 | frequency=3
[[Snapshot 8] [Node session_172.217.6.14_443] type=3 | type_name=NETFLOW_OBJECT | properties=session_172.217.6.14_443 | label=0 | frequency=1
[[Snapshot 8] [Node connection_192.168.223.128_172.217.6.14] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_172.217.6.14 | label=0 | frequency=2
[[Snapshot 8] [Node /programdata/microsoft/rac/statedata/racwmieventdata.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=/programdata/microsoft/rac/statedata/racwmieventdata.dat | label=0 | frequency=1
[[Snapshot 8] [Node /programdata/microsoft/rac/publisheddata/racwmidatabase.sdf] type=5 | type_name=PRINCIPAL_LOCAL | properties=/programdata/microsoft/rac/publisheddata/racwmidatabase.sdf | label=0 | frequency=1
[[Snapshot 8] [Node /programdata/microsoft/rac/statedata/racdatabase.sdf] type=5 | type_name=PRINCIPAL_LOCAL | properties=/programdata/microsoft/rac/statedata/racdatabase.sdf | label=0 | frequency=1
[[Snapshot 8] [Node /programdata/microsoft/rac/statedata/racwmidatabookmarks.dat] type=5 | type_name=PRINCIPAL_LOCAL | properties=/programdata/microsoft/rac/statedata/racwmidatabookmarks.dat | label=0 | frequency=1
[[Snapshot 8] [Node /program files/vmware/vmware tools/vmwareresolutionset.exe_3336] type=5 | type_name=PRINCIPAL_LOCAL | properties=/program files/vmware/vmware tools/vmwareresolutionset.exe_3336 | label=0 | frequency=15
[[Snapshot 8] [Node c:"/program files/vmware/vmware tools/vmwareresolutionset.exe_636] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/program files/vmware/vmware tools/vmwareresolutionset.exe_636 | label=0 | frequency=1
[[Snapshot 8] [Node connection_fe80::a14c:1f26:e307:b34d_ff02::16] type=3 | type_name=NETFLOW_OBJECT | properties=connection_fe80::a14c:1f26:e307:b34d_ff02::16 | label=0 | frequency=1
[[Snapshot 8] [Node system_4] type=0 | type_name=SUBJECT_PROCESS | properties=system_4 | label=0 | frequency=15
[[Snapshot 8] [Node session_192.168.223.128_0] type=3 | type_name=NETFLOW_OBJECT | properties=session_192.168.223.128_0 | label=0 | frequency=3
[[Snapshot 8] [Node session_224.0.0.22_0] type=3 | type_name=NETFLOW_OBJECT | properties=session_224.0.0.22_0 | label=0 | frequency=1
[[Snapshot 8] [Node 224.0.0.22] type=3 | type_name=NETFLOW_OBJECT | properties=224.0.0.22 | label=0 | frequency=3
[[Snapshot 8] [Node connection_192.168.223.128_224.0.0.22] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.128_224.0.0.22 | label=0 | frequency=2
[[Snapshot 8] [Node c:"/windows/system32/dhcpcsvc6.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/dhcpcsvc6.dll | label=0 | frequency=13
[[Snapshot 8] [Node dns.msftncsi.com] type=3 | type_name=NETFLOW_OBJECT | properties=dns.msftncsi.com | label=0 | frequency=1
[[Snapshot 8] [Node 131.107.255.255] type=3 | type_name=NETFLOW_OBJECT | properties=131.107.255.255 | label=0 | frequency=1
[[Snapshot 8] [Node /windows/system32/svchost.exe_628] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/svchost.exe_628 | label=0 | frequency=28
[[Snapshot 8] [Node c:"/windows/system32/mobsync.exe] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/mobsync.exe | label=0 | frequency=2
[[Snapshot 8] [Node connection_192.168.223.1_192.168.223.255] type=3 | type_name=NETFLOW_OBJECT | properties=connection_192.168.223.1_192.168.223.255 | label=0 | frequency=3
[[Snapshot 8] [Node connection_fe80::a14c:1f26:e307:b34d_ff02::2] type=3 | type_name=NETFLOW_OBJECT | properties=connection_fe80::a14c:1f26:e307:b34d_ff02::2 | label=0 | frequency=1
[[Snapshot 8] [Node connection_::_ff02::1:ff07:b34d] type=3 | type_name=NETFLOW_OBJECT | properties=connection_::_ff02::1:ff07:b34d | label=0 | frequency=1
[[Snapshot 8] [Node /windows/system32/mobsync.exe_4060] type=5 | type_name=PRINCIPAL_LOCAL | properties=/windows/system32/mobsync.exe_4060 | label=0 | frequency=25
[[Snapshot 8] [Node c:"/windows/system32/synccenter.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/synccenter.dll | label=0 | frequency=3
[[Snapshot 8] [Node connection_fe80::a14c:1f26:e307:b34d_ff02::1] type=3 | type_name=NETFLOW_OBJECT | properties=connection_fe80::a14c:1f26:e307:b34d_ff02::1 | label=0 | frequency=1
[[Snapshot 8] [Node c:"/windows/system32/cscobj.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/cscobj.dll | label=0 | frequency=5
[[Snapshot 8] [Node c:"/windows/system32/actxprxy.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/actxprxy.dll | label=0 | frequency=3
[[Snapshot 8] [Node c:"/windows/system32/syncinfrastructure.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/syncinfrastructure.dll | label=0 | frequency=1
[[Snapshot 8] [Node c:"/windows/system32/winsta.dll] type=5 | type_name=PRINCIPAL_LOCAL | properties=c:"/windows/system32/winsta.dll | label=0 | frequency=22
[[Snapshot 8] [Node connection_fe80::fd1b:d78f:dab1:8114_ff02::1:3] type=3 | type_name=NETFLOW_OBJECT | properties=connection_fe80::fd1b:d78f:dab1:8114_ff02::1:3 | label=0 | frequency=8
[[Snapshot 8] [Node 64717] type=3 | type_name=NETFLOW_OBJECT | properties=64717 | label=0 | frequency=1
[[Snapshot 8] [Node session_224.0.0.252_5355] type=3 | type_name=NETFLOW_OBJECT | properties=session_224.0.0.252_5355 | label=0 | frequency=4
[[Snapshot 8] [Node connection_169.254.129.20_224.0.0.252] type=3 | type_name=NETFLOW_OBJECT | properties=connection_169.254.129.20_224.0.0.252 | label=0 | frequency=8
[[Snapshot 8] [Node connection_224.0.0.252_169.254.129.20] type=3 | type_name=NETFLOW_OBJECT | properties=connection_224.0.0.252_169.254.129.20 | label=0 | frequency=8
[[Snapshot 8] [Node connection_ff02::1:3_fe80::fd1b:d78f:dab1:8114] type=3 | type_name=NETFLOW_OBJECT | properties=connection_ff02::1:3_fe80::fd1b:d78f:dab1:8114 | label=0 | frequency=8
